book_name,author,rating,reviews,price_usd,duration_mins,duration_category,primary_genre
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,371,121.45,654,Very Long (10+ hrs),Personal Success
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3682,7.41,203,Medium (3-6 hrs),General
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20306,125.04,317,Medium (3-6 hrs),Personal Success
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4678,10.7,335,Medium (3-6 hrs),General
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4308,12.11,385,Long (6-10 hrs),Literary Essays
Sapiens,Yuval Noah Harari,4.6,20163,13.17,918,Very Long (10+ hrs),General
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9339,220.36,1068,Very Long (10+ hrs),Personal Finance
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22123,10.08,369,Long (6-10 hrs),Personal Finance
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5116,105.24,664,Very Long (10+ hrs),Sleep Disorders
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3795,148.87,606,Very Long (10+ hrs),Consumer Behaviour
The Sandman,Neil Gaiman,5.0,1,14.11,654,Very Long (10+ hrs),Epic Fantasy
How to Win Friends and Influence People,Dale Carnegie,4.5,21000,8.05,485,Long (6-10 hrs),Communication & Social Skills
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237,125.04,240,Medium (3-6 hrs),Metaphysical & Visionary Fiction
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9865,13.17,1200,Very Long (10+ hrs),Business Decision Making & Problem Solving
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6,36.59,4317,Very Long (10+ hrs),Private Investigator Mysteries
Becoming,Michelle Obama,4.6,13941,13.17,1143,Very Long (10+ hrs),Women Biographies
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72,12.11,631,Very Long (10+ hrs),Business Careers
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2836,13.17,701,Very Long (10+ hrs),Political Science History & Theory
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,952,125.04,310,Medium (3-6 hrs),General
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419,8.05,356,Medium (3-6 hrs),Personal Finance
Elon Musk,Ashlee Vance,4.5,6491,10.7,803,Very Long (10+ hrs),Biographies of Science & Technology Leaders
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7585,4.23,160,Short (under 3 hrs),Christianity (Books)
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18381,1.19,433,Long (6-10 hrs),New Thought Spirituality
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11336,10.07,817,Very Long (10+ hrs),General
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6733,10.7,653,Very Long (10+ hrs),Organisational Behaviour
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11978,12.04,573,Long (6-10 hrs),Family Life Fiction for Children
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,304,9.06,633,Very Long (10+ hrs),General
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4483,10.07,692,Very Long (10+ hrs),Fiction Sagas
My Gita,Devdutt Pattanaik,4.2,1244,6.04,375,Long (6-10 hrs),General
Zero to One,Peter Thiel,4.4,5331,7.41,290,Medium (3-6 hrs),Business Management
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2434,9.04,777,Very Long (10+ hrs),Memory Improvement
The Unusual Billionaires,Saurabh Mukherjea,4.4,288,12.11,552,Long (6-10 hrs),Literary Essays
Chanakya Neeti,Acharya Chanakya,4.4,92,8.05,302,Medium (3-6 hrs),General
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2079,6.04,291,Medium (3-6 hrs),Self-Esteem
Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,4.5,3858,9.88,432,Long (6-10 hrs),Leadership
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7,6521,10.7,487,Long (6-10 hrs),Meetings & Presentations
Hyperfocus,Chris Bailey,4.5,157,3.89,399,Long (6-10 hrs),Time Management
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53,8.05,581,Long (6-10 hrs),Biographies of Business Leaders
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5,5339,13.17,893,Very Long (10+ hrs),Future Studies
Meri Gita,Devdutt Pattanaik,4.2,129,8.05,459,Long (6-10 hrs),Eastern Philosophy
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,12,10.7,582,Long (6-10 hrs),Workplace Culture
Think and Grow Rich,Napoleon Hill,4.5,22448,2.0,615,Very Long (10+ hrs),General
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4327,13.17,522,Long (6-10 hrs),Sciences
The Tales of Beedle the Bard,J.K. Rowling,4.6,3712,7.86,35,Short (under 3 hrs),Action & Adventure Fiction for Teens
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,5583,19.27,1818,Very Long (10+ hrs),Family Life Fiction for Children
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,5485,19.27,1337,Very Long (10+ hrs),Family Life Fiction for Children
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,7113,19.27,1287,Very Long (10+ hrs),Family Life Fiction for Children
Wings of Fire,APJ Abdul Kalam,4.6,70,0.9,15,Short (under 3 hrs),Biographies of Presidents & Heads of State
Man's Search for Meaning,Viktor E. Frankl,4.4,12997,5.64,284,Medium (3-6 hrs),General
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3377,12.11,518,Long (6-10 hrs),Small Businesses
The Girl on the Train,Paula Hawkins,4.0,70122,10.7,657,Very Long (10+ hrs),Psychological Thrillers
Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1279,3.89,617,Very Long (10+ hrs),Creativity & Genius
Sapiens,Yuval Noah Harari,4.6,329,14.11,1302,Very Long (10+ hrs),General
Everything Is F*cked: A Book About Hope,Mark Manson,4.3,2390,125.04,422,Long (6-10 hrs),Satire Fiction
The Girl in Room 105,Chetan Bhagat,4.3,6643,6.84,503,Long (6-10 hrs),Psychological Thrillers
Eat That Frog!,Brian Tracy,4.5,2094,4.23,157,Short (under 3 hrs),Time Management & Productivity
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,1877,10.7,474,Long (6-10 hrs),Lifestyle & Personal Style Guides (Books)
A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,4.6,5391,10.7,417,Long (6-10 hrs),General
1984,George Orwell,4.5,17140,9.6,739,Very Long (10+ hrs),Dystopian Science Fiction
The Alchemist (Hindi Edition),Paulo Coelho,4.4,796,8.05,396,Long (6-10 hrs),Literary Fiction
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,4.6,1375,13.71,943,Very Long (10+ hrs),General
Zen: The Art of Simple Living,Shunmyo Masuno,4.7,256,9.06,157,Short (under 3 hrs),Zen Buddhism
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,27,13.17,937,Very Long (10+ hrs),General
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.5,63,7.06,414,Long (6-10 hrs),African American History
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,4.5,2,10.07,670,Very Long (10+ hrs),Personal Success
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.4,3692,18.14,1361,Very Long (10+ hrs),General
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,4.5,957,13.17,884,Very Long (10+ hrs),Globalisation Money & Finance
365 Panchatantra Stories,Adil Mukesh,4.2,424,8.05,449,Long (6-10 hrs),Literary Criticism for Children
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,829,5.65,304,Medium (3-6 hrs),Investing & Trading
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,4.0,621,2.81,17,Short (under 3 hrs),English Language Learning
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,3.0,50,10.7,374,Long (6-10 hrs),Fascism
Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,4.4,3764,218.66,1584,Very Long (10+ hrs),Action & Adventure Fantasy
Market Wizards: Interviews with Top Traders,Jack D. Schwager,4.6,612,10.07,881,Very Long (10+ hrs),Stocks
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,4.5,409,13.17,1227,Very Long (10+ hrs),Historical Biographies
48 Laws of Power,Robert Greene,4.4,2121,9.88,1386,Very Long (10+ hrs),Ethics & Morality Philosophy
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,4.6,460,8.05,327,Medium (3-6 hrs),General
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,4.4,217,8.05,309,Medium (3-6 hrs),Personal Success
Anxious People,Fredrik Backman,4.6,22,10.7,592,Long (6-10 hrs),Humorous Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.3,4459,6.02,438,Long (6-10 hrs),Social Psychology
The Law of Success,Napoleon Hill,4.4,855,0.39,1436,Very Long (10+ hrs),Personal Success in Business
When Breath Becomes Air,Paul Kalanithi,4.6,11526,7.41,335,Medium (3-6 hrs),Sociology of Death & Dying
365 Tales of Indian Mythology,Om Books International,4.4,238,10.07,600,Very Long (10+ hrs),Literary Criticism for Children
Hooked: How to Build Habit-Forming Products,Nir Eyal,4.6,1760,6.04,280,Medium (3-6 hrs),Consumer Behaviour
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.3,1394,6.02,639,Very Long (10+ hrs),General
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,4.5,3401,125.04,439,Long (6-10 hrs),Business Sales
Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,593,160.78,549,Long (6-10 hrs),E-Commerce
Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,4.6,99,6.04,214,Medium (3-6 hrs),General
Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,4.2,1039,12.08,1097,Very Long (10+ hrs),General
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.6,2425,190.57,600,Very Long (10+ hrs),Business Management
7 Secrets of Shiva: The Hindu Trinity Series,Devdutt Pattanaik,4.4,687,6.04,244,Medium (3-6 hrs),Art
"Untamed: Stop Pleasing, Start Living",Glennon Doyle,4.7,5360,10.7,502,Long (6-10 hrs),Women Biographies
How to Stop Worrying and Start Living,Dale Carnegie,4.5,5038,8.05,582,Long (6-10 hrs),Personal Success
Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,4.2,154,14.11,1374,Very Long (10+ hrs),Biographies of Activists
The Selfish Gene,Richard Dawkins,4.6,1899,10.07,972,Very Long (10+ hrs),General
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,7315,7.05,221,Medium (3-6 hrs),General
The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,4.7,3974,7.33,284,Medium (3-6 hrs),Mentoring & Coaching
The Fountainhead,Ayn Rand,4.2,818,12.7,1922,Very Long (10+ hrs),Classic Fiction (Books)
"Girl, Woman, Other",Bernardine Evaristo,4.5,2091,10.7,667,Very Long (10+ hrs),African American Literature
Educated,Tara Westover,4.7,19643,10.7,730,Very Long (10+ hrs),Relationships
Maybe You Should Talk to Someone,Lori Gottlieb,4.7,3557,16.0,862,Very Long (10+ hrs),Social Scientist & Psychologist Biographies
Essence of the Upanishads: A Key to Indian Spirituality,Eknath Easwaran,4.5,52,4.22,521,Long (6-10 hrs),Hindu Sacred Writings
The Great Indian Novel,Shashi Tharoor,4.3,197,10.59,1120,Very Long (10+ hrs),Psychological Fiction
The Forty Rules of Love,Elif Shafak,4.6,2361,9.06,715,Very Long (10+ hrs),General
Peppa Pig: Bedtime Stories,Ladybird,4.7,64,4.12,7,Short (under 3 hrs),Animal Fiction for Children
Caste: The Lies That Divide Us,Isabel Wilkerson,4.8,992,10.7,866,Very Long (10+ hrs),Social Classes & Economic Disparity
The Mahabharata Secret,Christopher C. Doyle,4.0,986,10.07,617,Very Long (10+ hrs),Contemporary Fantasy
Lok Vyavhar,Dale Carnegie,4.5,1414,8.05,588,Long (6-10 hrs),Personal Success
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.6,2997,10.7,374,Long (6-10 hrs),Business & Careers
Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,4.5,1348,10.7,476,Long (6-10 hrs),Corporate Finance
The Da Vinci Code,Dan Brown,4.7,3836,17.29,999,Very Long (10+ hrs),Suspense
The Art of War,Sun Tzu,4.2,9217,4.01,7,Short (under 3 hrs),Eastern Philosophy
F*cking History: 111 Lessons You Should Have Learned in School,The Captain,5.0,185,9.08,247,Medium (3-6 hrs),Love & Romance
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,6923,218.66,2232,Very Long (10+ hrs),Military Fantasy
Cosmos,Carl Sagan,4.5,969,12.11,871,Very Long (10+ hrs),Atmospheric Sciences
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],David Schwartz,4.5,806,10.07,691,Very Long (10+ hrs),Personal Success
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,4.6,673,12.08,315,Medium (3-6 hrs),Workplace Culture
Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out,Harvard Business Review,4.7,143,8.05,581,Long (6-10 hrs),Forecasting & Strategic Planning
Marketing 4.0: Moving from Traditional to Digital,Philip Kotler,4.4,381,5.65,288,Medium (3-6 hrs),General
"Asura (Hindi Edition): Parajiton ki gatha, Ravana va uski praja ki kahani",Anand Neelkantan,2.0,1,14.11,1266,Very Long (10+ hrs),General
Super Thinking: Upgrade Your Reasoning and Make Better Decisions with Mental Models,Gabriel Weinberg,4.4,218,9.88,757,Very Long (10+ hrs),General
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,4.6,2394,10.07,766,Very Long (10+ hrs),Small Businesses
